Gene.symbol	logFC	P.Value	adj.P.Val
PLCD1	-1.4480715641096262	5.69226231661686e-95	4.033586575487895e-93
SMIM14	-1.3668800095628253	1.0527577412787579e-94	7.3324126783594854e-93
ADH1C	-3.8523970457747883	1.3841459175096993e-94	9.558817865920796e-93
BCAR3	-1.2904625550783342	7.596408915649975e-94	4.992188407550939e-92
RIOK3	-1.157079742926033	3.1950815255414103e-93	2.034118699346637e-91
MPC1	-1.0389751514511563	4.541891415076519e-93	2.869137452826244e-91
ABHD3	-1.3960264333074797	9.299250088944991e-93	5.740877952637328e-91
PDZD3	-1.4580866105349157	2.6673266025836773e-92	1.6100773692188433e-90
SCIN	-2.2420205063953498	3.8499929191504904e-92	2.3068817866292167e-90
ITM2C	-1.8255562508183214	4.986644054049666e-92	2.9661432406168412e-90
ADAMDEC1	-2.5182363454764456	6.310851418022281e-92	3.7266034931495335e-90
ARL14	-2.089758988939991	1.090038136442062e-91	6.390446599903859e-90
PTPRH	-1.6157799369480683	3.3527421988794586e-91	1.9376947644445895e-89
AKR1B10	-3.232553075694579	5.690955128006927e-91	3.2205273151478086e-89
MAOA	-1.7746213758418357	8.841652290427128e-91	4.969008587220046e-89
PDK4	-2.0310032146271784	1.3068255261009047e-90	7.294055624791967e-89
UGDH	-1.343365643607676	1.8748384988726833e-90	1.0393237365519386e-88
SLC25A20	-1.010558530449722	1.7953174159150544e-89	9.562118707380247e-88
SLC22A18AS	-1.6286609216196917	2.1692571154918037e-89	1.147875080139137e-87
MATN2	-1.8858974006347378	3.917618003865698e-89	2.0334184148727117e-87
BMP2	-1.6382362691741141	1.8546830106391894e-88	9.272277210858132e-87
MALL	-1.8836276873517086	5.522256159198816e-88	2.6627731030361626e-86
SLCO2A1	-1.5260376730163152	9.077761247399279e-88	4.3514515532386306e-86
UGT1A10	-2.24900366964408	3.671709521915837e-87	1.6904384685927773e-85
VIPR1	-1.7349582258794216	5.234344064182184e-87	2.369703876612257e-85
FABP2	-1.9340402853534622	6.160211363305918e-87	2.7582177142626335e-85
NEDD4L	-1.0935108270000988	1.0942946699806999e-86	4.8464169922134365e-85
ASAP3	-1.4153418821854569	2.3029202712683085e-85	9.673452211631674e-84
BCAS1	-2.121162426854588	1.1604640287055298e-84	4.800315416203737e-83
ACAT1	-1.0010085090744028	2.93600042646877e-84	1.1903217649400003e-82
PAPSS2	-1.5890573668163803	4.7723855936640125e-84	1.8970814733057578e-82
ETHE1	-1.275824776937048	9.013682701300797e-84	3.548429967772956e-82
EPHX2	-1.3601527647050702	1.151753948887232e-83	4.4907382437713176e-82
MOB3B	-1.1137403199128775	2.632622344293596e-83	1.0215828325546912e-81
KIAA0513	-1.1082010129154627	2.4991431059774423e-82	9.257053259368261e-81
MGLL	-1.1675232961224875	3.3368725208526385e-82	1.2248727104697365e-80
GALNT12	-1.1659786295813142	4.884158725057934e-82	1.7847986300671347e-80
PCK1	-2.4739018463199702	1.0115522948223753e-80	3.537828176183492e-79
SELENBP1	-1.999296922947348	1.6876716356532858e-80	5.802884455248365e-79
PPARGC1A	-1.4744835615261511	1.705781864771004e-80	5.839392267736653e-79
PLAC8	-2.734371695110969	2.616339587286305e-80	8.883563040331708e-79
CA12	-2.198124150710804	5.340567748079744e-80	1.7548502652863643e-78
NXPE4	-3.0511520336122757	6.610281867625891e-80	2.1546874775713352e-78
LGALS2	-2.4181325232736466	3.9070406219305163e-79	1.24856760894556e-77
MYO1A	-1.7385569838041608	3.922720848470122e-79	1.2486817263352745e-77
MT1G	-2.44980369671954	4.4028928816760956e-79	1.3960768129485798e-77
ITM2A	-1.4808524900223858	5.701961173904994e-79	1.780278988741448e-77
SQOR	-1.127626241444272	4.429841072214793e-78	1.30792662672023e-76
TDP2	-1.2186968330921903	7.454067529514609e-78	2.1693998677862337e-76
FGL2	-1.4815849833343409	8.373750268822935e-78	2.428387577958651e-76
DNASE1L3	-2.064725816060599	1.0314600327741077e-77	2.9700946314756905e-76
HSD17B11	-1.030064325654152	1.8867823915901715e-77	5.3948735821292307e-76
SLC26A3	-3.6928258725112038	1.915431740987978e-77	5.4576409990598013e-76
TSPAN1	-1.8327219898045097	6.348912797642962e-77	1.777913759037543e-75
C4orf19	-1.2728553893652474	1.06483172690606e-76	2.9716827885470833e-75
PGM1	-1.1350528372919744	1.288222620862404e-76	3.582841685122092e-75
IQGAP2	-1.4765370319108797	1.5493870286094298e-76	4.251163264693011e-75
MT1F	-2.048364536424346	3.013924900727271e-76	8.105767001988953e-75
SGK1	-1.7355122686865698	5.4485652056068054e-76	1.4462657283547186e-74
MACIR	-1.0621417404593654	1.5471758271415235e-75	3.989853106131732e-74
APOBR	-1.0971605471462862	4.745829116519708e-75	1.212343619765489e-73
CD177	-2.497621109672769	8.45446687635898e-75	2.132986085927224e-73
HOXD1	-1.150331827020148	1.0015016758017456e-74	2.5034469804013574e-73
STBD1	-1.0198541952660314	1.350239569001994e-74	3.364863072720871e-73
UGT1A8	-2.0587459006920925	2.001541689038832e-74	4.9425949163568007e-73
P2RY14	-1.2411261926144865	4.367826362877233e-74	1.0530596754759341e-72
GPA33	-1.7008813171897454	6.745715052344556e-74	1.6167891753398762e-72
FMO5	-1.4871935504761176	7.587544277497015e-74	1.813222824554932e-72
MT1E	-1.6385758390477534	2.891071887150876e-73	6.636435157293659e-72
CDHR2	-1.5457345507850313	5.2338229194113766e-73	1.1847339713967586e-71
KRT20	-2.0232711350034567	8.17960659846448e-73	1.8261812101612886e-71
ITPKA	-1.352453290540879	1.2680984270988126e-72	2.8157313576098703e-71
PLA2G10	-1.9980457141804138	1.578944041751878e-72	3.4588212355473265e-71
ACVRL1	-1.01794348844356	2.0247348268414148e-72	4.423475631080614e-71
CLCA1	-3.869504882300591	2.7951718993986587e-72	6.057940374521188e-71
PADI2	-1.030350039517101	6.413486056441025e-72	1.3681543946057046e-70
LIMA1	-1.2636760380040375	1.056872400362416e-71	2.2312054897806548e-70
TCF21	-1.013783284455851	1.4413867289855905e-71	3.004056382225979e-70
CLIC5	-1.5066079289835521	1.7558240339151392e-71	3.613184356660219e-70
CES2	-1.7745241009892272	1.3127991226882445e-70	2.6220588359770843e-69
CYP4F12	-1.248047815493039	2.1361559780873533e-70	4.2251298702509323e-69
MT1H	-2.260744519591884	2.9022504382012936e-70	5.712666381860468e-69
BTNL3	-1.3342308140234191	3.976966596318242e-69	7.519327330254606e-68
PIGZ	-1.7005774295799156	4.184316875609281e-69	7.893055143365748e-68
ANPEP	-2.763887956567266	4.722560992703664e-69	8.846930926331531e-68
ACADM	-1.0228698560031901	2.0142326447283227e-68	3.680264982486794e-67
VILL	-1.1588261148526913	6.212724657236785e-68	1.1126921589411552e-66
NAT2	-1.6630667228799823	1.145257779593115e-67	2.0200661571221415e-66
SELENOP	-1.6021828419834936	1.585333485779124e-67	2.7782543173363614e-66
USP2	-1.1454408739311148	1.5984026862693438e-67	2.795146671761563e-66
HMGCS2	-2.753607043114103	6.483048379248696e-67	1.1006325258853671e-65
TNFSF10	-1.1477798020283032	4.16919709048513e-66	6.808574567207079e-65
KBTBD11	-1.1181206448202143	4.4891754899060544e-66	7.301854504440007e-65
KLF9	-1.1836219659774745	7.742110195296296e-65	1.1994383266439071e-63
SGK2	-1.3064888078787291	8.366586285368552e-65	1.293725078547786e-63
JCHAIN	-2.806625952836031	8.870123768607161e-65	1.3689893672420407e-63
GCNT3	-2.1874482382570175	1.1766086160042638e-64	1.8125110797388935e-63
UGT2A3	-1.5208165857910148	1.8599167905005035e-64	2.85432427980953e-63
PTGER4	-1.0526736591436467	2.0064991976415652e-64	3.0677226944805096e-63
F13A1	-1.6272747857123893	3.294221302584511e-64	4.980447012015061e-63
CHST5	-1.2484663202752273	7.755314079542771e-64	1.1553574850858143e-62
LYVE1	-1.3358779750862668	1.8507845803364374e-63	2.712597759921156e-62
MEP1A	-2.1004083780655094	1.0720940328742355e-62	1.5115041996353192e-61
SRPX	-1.7127962421182854	1.2325136192601742e-62	1.7287011158952082e-61
MB	-1.4083977061647612	1.2996468008435822e-62	1.8197288281914693e-61
PAQR5	-1.2106824459818473	1.4566875867678499e-62	2.036114433031082e-61
PARM1	-1.39889271299403	2.090680407505277e-62	2.8974412654354594e-61
SCGB2A1	-2.0121695717776165	2.3152817259296505e-62	3.203264988896557e-61
BARX2	-1.1648566590342009	6.923177797455701e-62	9.279107873596464e-61
TST	-1.0672054472687975	7.4191814351017166e-62	9.927571348874202e-61
LPAR1	-1.0182143463281577	4.9324157360967596e-61	6.380040608484523e-60
FHL1	-1.6283718024388314	5.594885348229459e-61	7.225470792824384e-60
GSN	-1.0346885742499268	8.803324504341221e-61	1.1279605563817078e-59
NAT1	-1.0192950224014936	1.2600927347142437e-60	1.601949406425331e-59
PLAAT2	-1.8274287388808963	1.7776881701400606e-60	2.239007866842559e-59
AOC1	-1.3911475016978923	2.3736338097988083e-60	2.966678207983204e-59
CTSG	-1.3607198514630072	3.1243789571361563e-60	3.881183555137582e-59
ACAA2	-1.0197894620033203	1.1123314993690365e-59	1.3488674685056962e-58
ATP2A3	-1.088336399537945	1.3090964119030896e-59	1.5827635994952934e-58
GPX3	-1.4602889992797499	4.831663196612619e-59	5.681561816622832e-58
TLR3	-1.0189056839120472	5.2462956834474445e-59	6.151376046678162e-58
CFH	-1.219178124878888	6.2115116166844185e-59	7.27264485120134e-58
TPSG1	-1.2135653664272015	3.85468323191279e-58	4.3326639526699756e-57
CEACAM1	-1.4558969295955073	4.016113017270844e-58	4.507893247622604e-57
DDX60	-1.166250070716801	1.0285616154353162e-57	1.1357382932496466e-56
FXYD3	-1.2247692554540084	3.2429283537791573e-57	3.5141786110301e-56
SLC46A3	-1.0093175250284272	5.928880753867212e-57	6.348810678484088e-56
DSC2	-1.2579070666652488	1.0794077944935022e-55	1.106426932997176e-54
ACSF2	-1.018608856625434	2.310886939872368e-55	2.3306209991361293e-54
H1-2	-1.0645206928956483	2.7961007926334973e-55	2.806086866892903e-54
PBLD	-1.1667836817081767	2.8744520355810217e-54	2.736438041816559e-53
CD36	-1.0162739118348094	3.0384439472962144e-54	2.8858134879390267e-53
LRRC31	-1.2089307700829375	8.501742727444984e-54	7.935933732640227e-53
GHR	-1.5199835866654654	1.9014980522335902e-53	1.750882217813732e-52
TXNIP	-1.0206373647943128	3.816274744748325e-53	3.482510962480863e-52
SOSTDC1	-1.239558015427738	4.776547014342736e-53	4.3442055379329186e-52
SLC44A4	-1.2154586902039934	7.334272539753396e-53	6.589524468186376e-52
LGALS4	-1.3073570233811616	5.0856894666176074e-52	4.475516572728605e-51
SCG2	-1.3438551698176493	6.751793864562346e-52	5.90347298308139e-51
SPDEF	-1.0794758917194516	3.4873789699399935e-51	2.9633630058436917e-50
ABCB1	-1.5430915016349136	4.968196010284135e-51	4.182420380971633e-50
FOXD2	-1.0533078927204258	5.110466776246617e-51	4.297749613997285e-50
TMPRSS2	-1.0853614915453669	1.0009979833645394e-50	8.357717793481181e-50
KLRB1	-1.218125056927195	4.503944762790716e-50	3.670264587198154e-49
CKB	-1.717753158872565	4.219216555018494e-49	3.328402294951182e-48
P3H2	-1.31659273647365	5.5929193223280704e-49	4.373963489217989e-48
MUC2	-2.399535456648909	7.850231259539703e-49	6.115825481260903e-48
F2RL1	-1.0724615987495145	8.811659211250002e-49	6.845205997376194e-48
EMP1	-1.127491393394342	1.8395609230793145e-48	1.402299528734643e-47
EGLN3	-1.1666908016944584	2.772521323894871e-48	2.1017001179924937e-47
SECTM1	-1.1162198893603836	2.7816220800461564e-48	2.1066392500275213e-47
UGT2B17	-3.608327026801204	7.816299646220598e-48	5.811589946811281e-47
PPP1R14D	-1.0737106288641094	1.0560072481605154e-47	7.801816015648268e-47
SAMD9	-1.1064033395279793	2.6224363349809147e-47	1.909761724196557e-46
CDHR5	-1.0847447329782822	5.735411370959641e-47	4.147104459800365e-46
PLS1	-1.0029043747739177	1.2248975409289e-46	8.755868474587374e-46
DEFB1	-1.647770986208739	8.961979735649817e-46	6.236650116636239e-45
FCGBP	-1.8978583624498988	4.9261489097760264e-45	3.339699456386426e-44
MFAP4	-1.307784272411216	8.675572989484063e-45	5.833105964629177e-44
VIP	-2.205579644484577	1.9734538371149484e-44	1.309582680671801e-43
GDPD3	-1.1096198267989923	2.605049373189181e-42	1.6118866622717265e-41
UGT1A4	-1.3276367552788857	1.2073019808596526e-41	7.271473645251521e-41
SPINK5	-1.5529594692319808	7.453208730931138e-41	4.33211112327802e-40
H2BC5	-1.0199411398812082	1.8896615632958188e-40	1.0829009901053184e-39
TPSAB1	-1.3443439223855638	2.3266916497871398e-40	1.3268166727862422e-39
IL1R2	-1.0870795364854038	9.351316772614726e-40	5.269977896268147e-39
PTPRR	-1.1434413643991235	1.0034142095506184e-39	5.64697679117955e-39
CPA3	-1.293773433862504	1.4680729868473139e-39	8.222217711215643e-39
LAMA1	-1.3504881632224128	2.5497227373343778e-39	1.414410523249683e-38
POU2AF1	-1.160021335105971	5.413705063526272e-39	2.966797751356798e-38
FABP1	-1.634098321451873	5.6277708983121e-39	3.082036629727507e-38
CPM	-1.0155733317613853	5.7623535982172635e-39	3.153621186828239e-38
COL17A1	-1.2911549315991007	3.655475312530068e-38	1.949507089123529e-37
KLK1	-1.2184347207966386	2.2423983751186136e-37	1.1616849560611303e-36
ALDH1A1	-1.2823420616479702	3.0753812807159104e-37	1.585153830269067e-36
MAOB	-1.0143954363224834	4.768597782160242e-37	2.4363199577945963e-36
CCL13	-1.166784118550896	9.930007200459235e-37	4.9981240689649356e-36
HSPA2	-1.0166010436238961	7.021109690434752e-35	3.3129717931298667e-34
FRZB	-1.0616125656464481	1.0614563979502308e-33	4.813471445128788e-33
ACKR1	-1.055908837499393	2.9207898966188658e-33	1.3034784702928335e-32
CYP3A5	-1.0538080321786474	9.54883821763069e-33	4.1723046989529486e-32
CDA	-1.0893023309776826	1.6075596990618338e-32	6.945919399604923e-32
SPARCL1	-1.1388824701964513	1.0128655248846345e-31	4.256751501951978e-31
MFAP5	-1.5253575432566873	1.5307310073029805e-31	6.396885630006148e-31
SLC3A1	-1.2271673198216	3.9499119730828285e-31	1.627291843713446e-30
FGFBP1	-1.122195481087803	1.8178495923412732e-30	7.337125472010418e-30
CCL19	-1.2756648334733152	5.538240396837087e-29	2.1208233549729992e-28
MUC4	-1.1642647130545773	1.1372543733309195e-28	4.308454620303888e-28
PNLIPRP2	-1.0497450983870555	8.757016762386406e-27	3.1381235530645043e-26
CRYAB	-1.1318637211643905	1.680505684931394e-26	5.941189078744439e-26
MYH11	-1.3384185473943973	2.3679348933223296e-26	8.335335397703526e-26
IGFBP6	-1.0881558033520946	7.085913436022999e-26	2.447779083940289e-25
FOXA1	-1.0234749018904328	1.265041692115096e-25	4.32598604659921e-25
DES	-1.5551223838585138	7.485681296101417e-21	2.1723937636015116e-20
HBB	-1.0123314607329963	7.567926768549349e-19	2.0153933083957073e-18
CNN1	-1.3149708549758605	5.056443117134484e-18	1.3039542709344592e-17
ACTG2	-1.1944398933071554	6.193326001325144e-17	1.5354248124368297e-16
LEFTY1	-1.0372575185328277	1.1070626202417603e-12	2.32992078831356e-12
PLA2G2A	-1.0996759554835727	1.6506691897142495e-11	3.3049885078578426e-11
