Gene.symbol	logFC	P.Value	adj.P.Val
CITED2	-1.3264636457271015	1.1179712287550888e-100	1.1831620185876907e-98
POLR1C	0.9874712803282488	1.3693238449933736e-100	1.430592309339872e-98
PAFAH1B3	1.2336255224652488	1.7994324169688928e-100	1.8561487045417096e-98
PRDX6	-1.2105929863149996	3.841312985279907e-100	3.9128574396307454e-98
APPL2	-1.4776145493296058	5.122183750169043e-100	5.153169800015745e-98
FUCA1	-1.4148888022204442	5.788238506108459e-100	5.7522384861314434e-98
PHLDA1	2.289195377820275	7.379046666278688e-100	7.244801359458436e-98
CEACAM7	-3.719775928380721	8.859589452463114e-100	8.594856481919276e-98
RPP40	1.142705035941498	9.669737234297554e-100	9.270433967328326e-98
SLC25A23	-1.2041284265860437	1.2307062342020936e-99	1.1661657095945187e-97
WNT2	1.3140997893992106	1.3143452235375638e-99	1.231103359380185e-97
AUNIP	1.1456843507011776	1.849210046713476e-99	1.7124105307577407e-97
PDE9A	-2.0059445191629166	2.4705757881548364e-99	2.2621036064801978e-97
CFD	-2.5263448666283725	2.5025449252794066e-99	2.265915399566876e-97
TGIF2	1.4598591768957583	2.643186420393857e-99	2.366958916460389e-97
MRPS17	0.9826821939421002	4.783675664238662e-99	4.237192716074006e-97
LRRC19	-2.261943395667931	5.9370973636365176e-99	5.202301765190751e-97
NXT1	1.124689158471055	8.440281087754658e-99	7.317005381288585e-97
IMPDH1	1.1815292937274222	1.262982592056981e-98	1.0833731729128777e-96
ASCL2	2.2471307398153693	1.548594729403018e-98	1.3145310885317911e-96
EXOSC5	0.9733511130524706	4.810319151232456e-98	4.041163996226112e-96
DARS1	0.8121154770991961	1.676730872770935e-97	1.3942530492051376e-95
PPAT	1.1740928533156216	1.7999234524344303e-97	1.4815733549381992e-95
HSP90AB1	0.8966931727097265	2.077567923475852e-97	1.6930101008404718e-95
BEST2	-2.6357993044000123	2.4925556846197625e-97	2.0110728984125193e-95
TESC	2.6423341025946074	3.331991336240967e-97	2.66199974500271e-95
CPT2	-1.0761269780032219	4.397884234884114e-97	3.479452294181616e-95
HSD11B2	-2.102586517430444	1.5995432808028705e-96	1.2533344418521722e-94
NELFCD	1.1823332369115214	2.747591233848716e-96	2.1323924728222083e-94
ENTPD5	-1.8345657447838537	3.174833502780023e-96	2.440728133410793e-94
MMP3	3.391299934554967	3.412737337225908e-96	2.599102482341488e-94
CAD	0.9910122916657551	6.6598602229893775e-96	5.025111199735226e-94
NIT2	0.7820567617148804	9.014096238725232e-96	6.739070665079993e-94
MFSD12	0.8445172960445051	1.0479895126214893e-95	7.763696853047742e-94
ENC1	1.303567473840129	1.8720642125029558e-95	1.3743649790708635e-93
PPA1	0.8053276760525527	2.209797374976097e-95	1.607824893632162e-93
ADTRP	-2.775914450857379	2.9052071786884598e-95	2.0950914424010847e-93
DHRS9	-2.7405755542862016	3.554461066589054e-95	2.540816072950368e-93
PLCD1	-1.4480715641096262	5.69226231661686e-95	4.033586575487895e-93
DHDDS	-0.8331513943348892	1.0058112073752854e-94	7.0658237318113795e-93
SMIM14	-1.3668800095628253	1.0527577412787579e-94	7.3324126783594854e-93
ADH1C	-3.8523970457747883	1.3841459175096993e-94	9.558817865920796e-93
CXCL8	3.3726814171678843	1.6125422945447053e-94	1.1042527023735128e-92
SMYD3	0.8480534521146286	1.8624983249891073e-94	1.264791570861353e-92
SHMT2	1.2497639770775342	3.3812201437493665e-94	2.2771539629267425e-92
NAT10	0.9690983179789834	3.5667633470624565e-94	2.382422501246882e-92
ADCY9	-0.9787353704160688	6.021620392574184e-94	3.989445900738782e-92
BCAR3	-1.2904625550783342	7.596408915649975e-94	4.992188407550939e-92
PUS1	1.0733463488364778	8.647527083587081e-94	5.637495856332089e-92
HSPH1	1.2959841703703763	1.488695263810535e-93	9.628077543485755e-92
WDR74	0.9125974091503704	2.5466405507502576e-93	1.6340609329184134e-91
RIOK3	-1.157079742926033	3.1950815255414103e-93	2.034118699346637e-91
MPC1	-1.0389751514511563	4.541891415076519e-93	2.869137452826244e-91
GALK1	0.9220003986072172	6.824874605487901e-93	4.2781463969323774e-91
ZPR1	0.8071156191543505	7.164603803521558e-93	4.456821098847113e-91
ABHD3	-1.3960264333074797	9.299250088944991e-93	5.740877952637328e-91
BRIX1	0.8976028921287043	1.3498802426255862e-92	8.270807591846542e-91
CCND1	1.2140174791559737	1.968870984784101e-92	1.1973380339556448e-90
PDZD3	-1.4580866105349157	2.6673266025836773e-92	1.6100773692188433e-90
SCIN	-2.2420205063953498	3.8499929191504904e-92	2.3068817866292167e-90
ITM2C	-1.8255562508183214	4.986644054049666e-92	2.9661432406168412e-90
ADAMDEC1	-2.5182363454764456	6.310851418022281e-92	3.7266034931495335e-90
ARL14	-2.089758988939991	1.090038136442062e-91	6.390446599903859e-90
MTHFD2	1.034257695798816	1.9746033066160497e-91	1.1493601675438706e-89
PTPRH	-1.6157799369480683	3.3527421988794586e-91	1.9376947644445895e-89
GNPDA1	0.8772771416572382	3.444606617253901e-91	1.9767675580283125e-89
C19orf53	0.6938234699228332	4.608433445343085e-91	2.6261625276993567e-89
AKR1B10	-3.232553075694579	5.690955128006927e-91	3.2205273151478086e-89
MAOA	-1.7746213758418357	8.841652290427128e-91	4.969008587220046e-89
PDK4	-2.0310032146271784	1.3068255261009047e-90	7.294055624791967e-89
UGDH	-1.343365643607676	1.8748384988726833e-90	1.0393237365519386e-88
DDX56	0.8315157174278909	3.2272184346411624e-90	1.7769326367493807e-88
EIF3B	0.9100542462787349	4.972540856392588e-90	2.719546002600215e-88
GTPBP4	0.8685370017871445	9.456837609809012e-90	5.132666839123526e-88
CCT3	0.7693346390540032	9.51077055721748e-90	5.132666839123526e-88
C2	1.528796113275452	1.470641105336109e-89	7.884377873278916e-88
SLC25A20	-1.010558530449722	1.7953174159150544e-89	9.562118707380247e-88
SLC22A18AS	-1.6286609216196917	2.1692571154918037e-89	1.147875080139137e-87
ATIC	0.8848823499876346	3.1626890000081374e-89	1.6627582361978265e-87
WDR12	0.8400702436680021	3.4810746585202276e-89	1.8184152174539317e-87
MATN2	-1.8858974006347378	3.917618003865698e-89	2.0334184148727117e-87
POLB	0.7904233387291235	4.07438528241801e-89	2.1014028902800227e-87
TRAP1	0.957631182953719	4.1067653116060025e-89	2.104781793979705e-87
PNO1	1.051448407882818	4.984708812225792e-89	2.538774506926749e-87
AURKA	1.3184697675361026	7.410904931173746e-89	3.75102262634378e-87
PRPS1	0.951017006702001	1.172693179536477e-88	5.8989362469399695e-87
BMP2	-1.6382362691741141	1.8546830106391894e-88	9.272277210858132e-87
RRS1	1.0330641665937268	2.787380028914347e-88	1.3850219424160375e-86
SND1	0.8170925559150568	3.182393370238886e-88	1.5717165802470718e-86
GART	0.8379229430267578	4.039235403453935e-88	1.9828752592015733e-86
RPS21	0.703017496578445	4.60066914882463e-88	2.2449612511240664e-86
NUP205	0.788977334234005	5.238880677319315e-88	2.5411689666354227e-86
MALL	-1.8836276873517086	5.522256159198816e-88	2.6627731030361626e-86
SLCO2A1	-1.5260376730163152	9.077761247399279e-88	4.3514515532386306e-86
CBX4	1.0125239263723982	1.1709598285203053e-87	5.580205638954367e-86
VPS4B	-0.7804412508442233	1.7928546336955006e-87	8.49417000580502e-86
ATAD2	1.1588083213464992	2.7988361470203425e-87	1.318365072951952e-85
SPIB	-0.9890690745100095	3.381543191200435e-87	1.5836893945455372e-85
RFC3	1.2484798309110055	3.4984056546369924e-87	1.6290575816935344e-85
CYCS	-0.8812646748707653	3.521307495068183e-87	1.6304053850744674e-85
UGT1A10	-2.24900366964408	3.671709521915837e-87	1.6904384685927773e-85
NONO	0.7646135118172737	3.9280640591203043e-87	1.7983030347062562e-85
PLAU	1.4854552324688592	4.376464683150559e-87	1.9923916593851344e-85
VIPR1	-1.7349582258794216	5.234344064182184e-87	2.369703876612257e-85
RRP9	0.821798324846255	5.950294746696919e-87	2.678947618278077e-85
FABP2	-1.9340402853534622	6.160211363305918e-87	2.7582177142626335e-85
TMEM161A	0.6731238501710877	9.873660100233759e-87	4.3967462380767706e-85
NEDD4L	-1.0935108270000988	1.0942946699806999e-86	4.8464169922134365e-85
ZNF593	0.9668233016203747	1.1500354695072175e-86	5.0657508329807114e-85
ADRM1	0.9210148128685578	1.5387623159634699e-86	6.741598985368987e-85
DDX10	0.8107752225710954	1.9841663206455446e-86	8.646508741679435e-85
TMEM147	0.6918740772770775	2.3094678287588026e-86	1.0010560285401852e-84
PINK1	-0.9840442433875936	3.304642154267253e-86	1.4248427997420023e-84
NMB	1.0070481091029464	6.4018416209516836e-86	2.745716177322909e-84
SOX4	1.0589763009812483	8.861942385940717e-86	3.78094075932099e-84
MYC	1.4858078306033562	1.3484257791206295e-85	5.723084205236463e-84
UTP14A	0.8730450627888517	1.9005489173110628e-85	8.024649288688005e-84
ASAP3	-1.4153418821854569	2.3029202712683085e-85	9.673452211631674e-84
NAA10	0.857779958902805	7.221483217111556e-85	3.0178393198072854e-83
NTAQ1	0.7386080075840518	7.784515567784234e-85	3.2365314980547814e-83
BCAS1	-2.121162426854588	1.1604640287055298e-84	4.800315416203737e-83
CEP55	1.4268037986925757	1.551963075226827e-84	6.387347020213845e-83
SRM	1.0088248867010883	2.1796308826325262e-84	8.925533699785154e-83
PDPN	1.41107153211082	2.8390187419355914e-84	1.1567581864016567e-82
ACAT1	-1.0010085090744028	2.93600042646877e-84	1.1903217649400003e-82
MTM1	-0.9329834428265009	3.3822707369949064e-84	1.364461595830272e-82
TRAK2	-0.7212333591709648	4.583455109550015e-84	1.8399298368336492e-82
CNNM2	-0.8459907753567473	4.708910082500239e-84	1.881024914818355e-82
PAPSS2	-1.5890573668163803	4.7723855936640125e-84	1.8970814733057578e-82
ATP6V1F	0.8169501735388156	5.443991978942567e-84	2.1535480891457756e-82
ETHE1	-1.275824776937048	9.013682701300797e-84	3.548429967772956e-82
MCM10	1.0880713395581125	9.477550530096732e-84	3.7131038110460706e-82
EPHX2	-1.3601527647050702	1.151753948887232e-83	4.4907382437713176e-82
MOB3B	-1.1137403199128775	2.632622344293596e-83	1.0215828325546912e-81
NPM3	1.0713398898304574	3.1735163752473065e-83	1.2256390967720523e-81
COL1A1	2.351222332345234	3.9695067954267725e-83	1.5258259847138098e-81
GLA	0.8606461608523839	4.731598019966829e-83	1.8102249889535065e-81
GRINA	0.8372469960932563	5.946134581372824e-83	2.264254705776035e-81
FBL	0.8291823805901242	7.40599302689001e-83	2.807043589587288e-81
HADHB	-0.6597916117212694	1.166909574801882e-82	4.402382465305804e-81
RANGAP1	0.9156715891871405	1.269767442910741e-82	4.768357093216418e-81
SCD	1.432210321928232	1.3581261406015834e-82	5.076775192551515e-81
IRAK1	0.9601175703830922	1.7550366499048815e-82	6.530499388162045e-81
KIAA0513	-1.1082010129154627	2.4991431059774423e-82	9.257053259368261e-81
CENPN	1.2252369096060365	3.104411167923826e-82	1.1446989415118217e-80
MGLL	-1.1675232961224875	3.3368725208526385e-82	1.2248727104697365e-80
GALNT12	-1.1659786295813142	4.884158725057934e-82	1.7847986300671347e-80
IFITM3	1.3309869271072454	6.165594015891735e-82	2.243010073013471e-80
SOX9	1.480593122579556	1.1197821506684554e-81	4.055602109243219e-80
ECHDC2	-0.8904596337164001	1.1409303643416851e-81	4.113912185407253e-80
SNRPB	0.9371866181010109	1.6200261692430566e-81	5.815679847207783e-80
SLC5A6	1.110806863823112	1.7800539960548788e-81	6.3621315850224595e-80
SRPX2	1.916050164895739	1.8763942060220919e-81	6.677177460643679e-80
CAB39	-0.6490033633785135	1.9530256750503598e-81	6.919654880863208e-80
VSNL1	1.7645067300994777	2.0434901777439556e-81	7.208831800188526e-80
DPEP1	2.8727527823448646	2.5277029197421556e-81	8.878556505594321e-80
PCK1	-2.4739018463199702	1.0115522948223753e-80	3.537828176183492e-79
KIF20A	1.1795879282060149	1.3598137118826283e-80	4.735522195782708e-79
NOLC1	0.8908859952926367	1.4682882565827747e-80	5.0915238310183114e-79
CKAP2	1.0719019809887067	1.5689853679302966e-80	5.417653289518639e-79
SELENBP1	-1.999296922947348	1.6876716356532858e-80	5.802884455248365e-79
PPARGC1A	-1.4744835615261511	1.705781864771004e-80	5.839392267736653e-79
TTI1	0.8819996217614783	1.7126208761677015e-80	5.839392267736653e-79
PLAC8	-2.734371695110969	2.616339587286305e-80	8.883563040331708e-79
CDCA4	0.7480376525945136	2.6319280414070677e-80	8.899411456193441e-79
IARS1	0.7966341571136439	3.805115012486468e-80	1.2813174477996789e-78
TWNK	0.7435621858596679	4.094597533663894e-80	1.3731224404044063e-78
PDCD5	0.7778330646153684	4.241159083926747e-80	1.4164428432343878e-78
PAICS	1.087558795417591	4.261866613066851e-80	1.4175490216278275e-78
DSN1	0.8693043014183983	4.876861281200884e-80	1.615509860996179e-78
PSMB2	0.6439621077942022	4.9324744371326135e-80	1.6273171736110795e-78
CA12	-2.198124150710804	5.340567748079744e-80	1.7548502652863643e-78
MORC2	0.6980149154568096	5.848589520114701e-80	1.9140624899363329e-78
NXPE4	-3.0511520336122757	6.610281867625891e-80	2.1546874775713352e-78
PRDX4	0.9932990064778888	1.4222748868299234e-79	4.61757691345699e-78
CCNO	0.9180098632092637	1.4280438754306234e-79	4.617908547969901e-78
ITGA2	1.1029674573491741	1.5825857410188438e-79	5.097427353186782e-78
LAS1L	0.8798052555233378	1.661219007837455e-79	5.32963531293993e-78
LGALS2	-2.4181325232736466	3.9070406219305163e-79	1.24856760894556e-77
MYO1A	-1.7385569838041608	3.922720848470122e-79	1.2486817263352745e-77
MT1G	-2.44980369671954	4.4028928816760956e-79	1.3960768129485798e-77
BUB1	1.3356479079200696	4.443865538789376e-79	1.4036069874261482e-77
RCL1	0.8866500095437102	4.5412502237344567e-79	1.4288281109348297e-77
NOP56	0.94066043838860125	5.463395273865324e-79	1.7123541571818664e-77
ITM2A	-1.4808524900223858	5.701961173904994e-79	1.780278988741448e-77
NUP37	0.7755699134381651	7.706154540097272e-79	2.396849364398957e-77
MMP1	2.7684471260403036	7.91063131691322e-79	2.451092570400222e-77
PPRC1	0.8555649152274345	1.0433561859032268e-78	3.2205718026232558e-77
ADNP	0.7016829716569823	1.3767410342828034e-78	4.23360856164927e-77
CEBPB	1.1739620755461289	1.3977244223277704e-78	4.2819760592289475e-77
KDM1A	0.645332325978277	1.5753253537141594e-78	4.807987381054938e-77
NUP62	0.581188739056504	1.9267402418985187e-78	5.858584414638444e-77
FAP	1.8424138649339614	1.9648366295636965e-78	5.9522132692619195e-77
KARS1	0.5191252585666657	2.18071140350738e-78	6.581710084141348e-77
SMOX	0.7972326891854467	2.7850186694785204e-78	8.374581969586886e-77
MGST3	-0.6783004621114479	2.826356084196814e-78	8.467638136073469e-77
SLC9A1	-0.9310249429445996	2.874680802022133e-78	8.580869544204528e-77
NCOA4	-0.6026383021047756	3.635831979156616e-78	1.0813282773046446e-76
CCT7	0.7099200718907301	4.392686422470993e-78	1.3016727875169498e-76
SQOR	-1.127626241444272	4.429841072214793e-78	1.30792662672023e-76
PLOD3	0.926342959043013	5.276293576097754e-78	1.5522208069177112e-76
NSDHL	0.8162068963569702	5.884922981681828e-78	1.7250445099901158e-76
CALCOCO2	-0.5735875458474506	6.120317277515467e-78	1.7876152506979764e-76
TDP2	-1.2186968330921903	7.454067529514609e-78	2.1693998677862337e-76
FGL2	-1.4815849833343409	8.373750268822935e-78	2.428387577958651e-76
MCM7	0.9897583841091429	1.0074643513234768e-77	2.911286169835111e-76
DNASE1L3	-2.064725816060599	1.0314600327741077e-77	2.9700946314756905e-76
PSAT1	1.2784833994664462	1.866576047834563e-77	5.3558902161281174e-76
HSD17B11	-1.030064325654152	1.8867823915901715e-77	5.3948735821292307e-76
SLC26A3	-3.6928258725112038	1.915431740987978e-77	5.4576409990598013e-76
CCT4	0.6489710521393413	2.3860034878854177e-77	6.77475345741403e-76
NUP93	0.7199240566417338	3.4686658301849515e-77	9.814638142422628e-76
CPNE1	1.3125163820680843	5.126497256620925e-77	1.4423637719124006e-75
CDK5RAP1	0.7365895260629518	5.1329671598306066e-77	1.4423637719124006e-75
TSPAN1	-1.8327219898045097	6.348912797642962e-77	1.777913759037543e-75
C4orf19	-1.2728553893652474	1.06483172690606e-76	2.9716827885470833e-75
PGM1	-1.1350528372919744	1.288222620862404e-76	3.582841685122092e-75
IFRD2	0.7974920600069133	1.405184154523573e-76	3.894845467759386e-75
YEATS2	0.6278778621490737	1.4499379528114792e-76	4.0052692804951674e-75
AATF	0.6677476348051776	1.471009000980212e-76	4.0497474151985634e-75
IQGAP2	-1.4765370319108797	1.5493870286094298e-76	4.251163264693011e-75
FMO4	-0.9512601240846896	1.7593743983707934e-76	4.811121467222683e-75
POP7	0.5583298184967127	2.3187669924193813e-76	6.319609438536969e-75
FANCI	0.8966159742960649	2.8022379360253444e-76	7.611812313556843e-75
WDR77	0.8174182581780469	2.845768661597742e-76	7.704375024372093e-75
KIF13B	-0.8755461407904388	2.8689301019048793e-76	7.741361390868497e-75
MT1F	-2.048364536424346	3.013924900727271e-76	8.105767001988953e-75
CXCL1	2.351732405651717	3.470631654247934e-76	9.303347812653425e-75
AARS1	0.7224330458996295	3.6159429737569654e-76	9.661088292834595e-75
CHEK1	1.2377870989518227	5.416481105572361e-76	1.4424478604349401e-74
SGK1	-1.7355122686865698	5.4485652056068054e-76	1.4462657283547186e-74
C1orf21	-0.978701548615347	5.731470977783378e-76	1.5164206817518424e-74
RPN2	0.7676718864499747	8.307090306466731e-76	2.190759835190854e-74
NUTF2	0.6296758893229253	8.857655130889149e-76	2.3284203761811507e-74
UGP2	-0.8344978346108451	1.1593720928260556e-75	3.0378531139676934e-74
NDRG2	-0.9349598838938169	1.2177278984395487e-75	3.180533539866629e-74
PAM16	0.7554829918903021	1.2217006552642012e-75	3.1807152203667656e-74
CEP72	0.9645237859967581	1.2849533237044008e-75	3.3347403295755294e-74
ANGPT2	1.1094110528201364	1.5302724287390674e-75	3.958790483109416e-74
MACIR	-1.0621417404593654	1.5471758271415235e-75	3.989853106131732e-74
GEMIN6	0.7069790916351986	2.1873080312413117e-75	5.6228306456105514e-74
SMPD1	-0.9276703234840866	2.206611467816352e-75	5.654615362023727e-74
APOBR	-1.0971605471462862	4.745829116519708e-75	1.212343619765489e-73
UGGT2	0.7970426250469593	4.807946721157854e-75	1.2243736822098548e-73
CHP1	-0.992817731979347	6.4399061830943505e-75	1.6348534419325815e-73
ANXA9	1.0276059172054728	6.571932112966565e-75	1.6631886580299545e-73
CD177	-2.497621109672769	8.45446687635898e-75	2.132986085927224e-73
GALNT6	1.2109573194822119	8.773685425713413e-75	2.2066902016709445e-73
GPSM2	1.0730299045768437	9.701201600047238e-75	2.432464364270306e-73
HOXD1	-1.150331827020148	1.0015016758017456e-74	2.5034469804013574e-73
STBD1	-1.0198541952660314	1.350239569001994e-74	3.364863072720871e-73
AZGP1	1.7108645669774996	1.5919936848818771e-74	3.9552306518604926e-73
GDF15	1.9853891276298778	1.8817993397568206e-74	4.661028212668186e-73
UGT1A8	-2.0587459006920925	2.001541689038832e-74	4.9425949163568007e-73
PTP4A3	1.3890511473262004	2.062850233453024e-74	5.0786001668908435e-73
UTP6	0.6181426264250902	2.1414726790500925e-74	5.256283392041929e-73
IFITM1	1.3008856547108287	2.1979923908398812e-74	5.3788108086949527e-73
ERCC6L	1.054981453128451	2.5883109781081508e-74	6.315013820539917e-73
CKS2	1.2809423320860045	2.8055964369638203e-74	6.824718019348709e-73
FEZ2	-0.5921379863538458	3.938078034369784e-74	9.551011280380764e-73
EXOSC4	0.7991204493528512	4.07961269673114e-74	9.864915093668267e-73
P2RY14	-1.2411261926144865	4.367826362877233e-74	1.0530596754759341e-72
CDK1	1.152993313204611	6.169441435990174e-74	1.4830318071352192e-72
GPA33	-1.7008813171897454	6.745715052344556e-74	1.6167891753398762e-72
FMO5	-1.4871935504761176	7.587544277497015e-74	1.813222824554932e-72
TRIM28	0.7699118958112852	7.814275689932264e-74	1.8619453975806437e-72
XPOT	0.8921319833340462	8.53566679865716e-74	2.0232621382750048e-72
MCM2	0.9695537387258577	8.540951964248395e-74	2.0232621382750048e-72
HOMER1	1.247233761913824	1.0249901039231155e-73	2.4210563353244834e-72
EXO1	0.926501758994899	1.1760534264322255e-73	2.769843749131851e-72
RPS6KA5	-0.8021481463801816	1.2751461568656232e-73	2.9945723436017184e-72
FAM162A	-0.9049241994698889	1.3735015065643292e-73	3.2162826945381375e-72
OSBPL3	0.7312967636147292	1.5663387215094372e-73	3.6573335935760466e-72
E2F5	1.0023033889461797	1.6887529756410336e-73	3.931899428142509e-72
PCID2	0.8759557221101506	1.7426736698888078e-73	4.0458825458472634e-72
NHP2	0.78299426306247355	1.8758800276637682e-73	4.342768848134105e-72
PAFAH2	-0.8408462702396884	2.0793116992085846e-73	4.800088112422311e-72
SUCLG2	-0.9658767415057987	2.517468078882384e-73	5.795154625653262e-72
MT1E	-1.6385758390477534	2.891071887150876e-73	6.636435157293659e-72
RPL13	0.4743743330114345	3.566812400677843e-73	8.164593891326894e-72
ABCE1	0.7988600909312353	3.696125260073011e-73	8.436897687488786e-72
TRAPPC8	-0.5330124548553741	4.025958673343314e-73	9.164116544434263e-72
ARID3A	1.4395635531599602	4.679227338228863e-73	1.062145503599638e-71
CDHR2	-1.5457345507850313	5.2338229194113766e-73	1.1847339713967586e-71
P3H1	0.9385792728627447	5.4513709987523544e-73	1.227618371905851e-71
CCNF	0.7858330501581943	5.4534034928201994e-73	1.227618371905851e-71
ZNF239	1.0228233604865462	5.614317297465328e-73	1.2603601007450401e-71
URB2	0.7253686438459619	7.629983830579332e-73	1.708152149323928e-71
KRT20	-2.0232711350034567	8.17960659846448e-73	1.8261812101612886e-71
KIF4A	1.1079939030001187	1.2213406567837596e-72	2.7193183093253706e-71
ITPKA	-1.352453290540879	1.2680984270988126e-72	2.8157313576098703e-71
ACADVL	-0.8793515217561385	1.2860396138548642e-72	2.847808916658502e-71
